Date,Crop Type,Grade,Market Price,Demand,Supply,Weather Condition,Rainfall (mm),Temperature (°C),Distance to Market (km),Transport Cost,Peak Season
2024-02-10,Wheat,A,157.49364374117886,939,976,Sunny,1.5429340335478692,25.7012638561309,44.734778905878485,54.49011929240615,0
2024-02-11,Wheat,A,284.4141559810718,796,587,Clear,6.3756368914092025,23.60255186287649,18.10911381725594,25.151654997714836,0
2024-02-12,Wheat,A,243.54900618380978,1470,1046,Rainy,11.92109850153649,16.706074342446612,32.96230991499762,62.32995436449018,0
2024-02-13,Wheat,A,137.11290072280963,1035,766,Sunny,9.455343379130372,34.892071628635414,20.77490354442739,27.53267651325089,0
2024-02-14,Wheat,C,200.04255951014386,1078,852,Cloudy,3.4735923503451716,20.14983394371204,30.24786275959952,28.265214391831552,0
2024-02-15,Wheat,B,124.91564010226854,1234,417,Sunny,16.485274973788357,33.469476119178,25.71998321940916,28.50723235271742,0
2024-02-16,Wheat,B,236.32475206136638,1248,400,Clear,9.497361248966012,16.32247133412407,14.229050921046635,78.02043789248278,0
2024-02-17,Wheat,A,233.6424801518536,1072,1008,Cloudy,13.586538134375242,25.6830940292127,47.17937786310759,22.92325094151412,0
2024-02-18,Wheat,B,132.99575474917887,1362,1076,Sunny,0.42433555486235397,22.92372647270904,45.470706987610555,40.71747327672039,0
2024-02-19,Wheat,A,179.28277743666558,1313,1272,Cloudy,1.9266091217513193,19.76506950606879,45.86686117256368,77.10674052304881,0
2024-02-20,Wheat,B,232.64311949275574,1470,1027,Sunny,1.8033719468284404,16.110826116167612,18.23655864063936,95.72195319132584,0
2024-02-21,Wheat,B,161.63278336513193,955,691,Clear,12.773644541291818,32.96886099241022,40.69707604536197,72.62004536034317,0
2024-02-22,Wheat,A,120.42637600690604,1222,713,Sunny,11.677350936529367,34.53274509242951,45.071262381558796,55.59901068469527,0
2024-02-23,Wheat,A,245.27117066596296,1245,968,Sunny,8.924284551093,17.74758542544572,18.033503014242438,51.73259006017952,0
2024-02-24,Wheat,C,184.8584456305394,638,618,Cloudy,7.8238126261054175,17.281138674344284,17.208708540775635,86.97140159585346,0
2024-02-25,Wheat,A,178.56849794538505,1475,1085,Rainy,14.365445347118019,22.97822004550076,17.30808647932229,47.41934518848527,0
2024-02-26,Wheat,C,295.10791049557724,1271,585,Clear,11.611762056756366,15.630286967176815,11.04223662847691,28.7692906399933,0
2024-02-27,Wheat,C,238.71382212938494,1448,660,Clear,16.513846619590538,31.282409284846683,25.11326387897164,54.32105426281421,0
2024-02-28,Wheat,C,245.7005191744836,592,724,Sunny,14.95315348349752,22.729024158201835,42.120342035959425,90.33967956235334,0
2024-02-29,Wheat,B,172.85022119120666,932,1152,Cloudy,18.495874331403048,34.257153505392566,23.5716837416295,35.59985972923546,0
2024-03-01,Wheat,C,216.72958895968878,1322,1255,Cloudy,6.970917428806378,17.22787248002838,27.150422931267876,99.09057576198899,1
2024-03-02,Wheat,B,147.35342573755906,524,1244,Clear,16.69589831654789,23.551020918962468,23.603090307318517,39.95748123656633,1
2024-03-03,Wheat,A,157.7575382232928,1312,915,Rainy,13.523568682267658,27.757721894233775,33.74280843661295,49.903129122539134,1
2024-03-04,Wheat,B,158.92562366262982,699,568,Clear,8.466981074515566,22.73807117718407,36.265244098823814,51.27712880968592,1
2024-03-05,Wheat,A,133.8084564909735,1271,401,Sunny,8.994115884177818,17.50145305752429,19.404764389403542,21.99725513010157,1
2024-03-06,Wheat,C,250.59700454843357,626,632,Cloudy,12.860475720213122,18.264009215755227,17.1093312981642,73.05102367827948,1
2024-03-07,Wheat,A,154.04987298053587,1214,1336,Sunny,15.676165630758412,32.44919126407649,37.94117215278549,33.80666801831421,1
2024-03-08,Wheat,A,245.29133311138008,860,427,Sunny,16.048290912686333,20.613145049713342,21.99557489400044,43.97822604360677,1
2024-03-09,Wheat,C,169.18813097191122,1276,1073,Cloudy,1.2160139707567486,31.65549877451771,48.2074506927784,39.01705610932162,1
2024-03-10,Wheat,C,271.0284072115874,1004,832,Cloudy,11.62250611308366,22.001669002492097,39.954158377158045,71.12432135488531,1
2024-03-11,Wheat,A,181.14625722053705,923,1389,Cloudy,9.89738248173958,33.85462762828148,33.66334250255173,37.550444395947665,1
2024-03-12,Wheat,B,167.659178867718,1412,629,Cloudy,18.151637152789867,32.23012898047871,27.237972531538087,83.91660528705836,1
2024-03-13,Wheat,A,129.52845114937332,535,566,Clear,11.188002995758916,18.778950516361103,17.406855058614394,98.80161239471494,1
2024-03-14,Wheat,C,263.2538379746318,951,1016,Sunny,7.358415798660129,27.193574564248102,11.773902700413528,26.67527899604292,1
2024-03-15,Wheat,A,219.3305672627922,1462,978,Rainy,3.4766793816975516,26.853594255937175,15.618459976609152,91.49211021919265,1
2024-03-16,Wheat,B,192.5451144630263,743,646,Sunny,10.948220304154088,26.72311740880764,15.685182144613856,50.07554804029737,1
2024-03-17,Wheat,C,143.10678117093127,1481,972,Rainy,3.236140870983346,22.803693340808962,28.19406643772043,79.97014363072152,1
2024-03-18,Wheat,A,289.4059073277382,1492,917,Sunny,1.3325037511494053,28.393163937074263,18.685514279555502,72.03465350098608,1
2024-03-19,Wheat,C,102.30720392249522,1153,1018,Sunny,4.878414567209671,20.41428975761542,34.40187632214567,52.89412234085182,1
2024-03-20,Wheat,A,170.7160322957264,538,615,Clear,18.8623265373537,25.300427332445516,47.83420095026134,75.67023968695376,1
2024-03-21,Wheat,B,141.5982412381359,1326,1201,Sunny,6.785590926976381,24.629334206473743,26.911994627489364,53.48450636375746,1
2024-03-22,Wheat,B,242.43665644498608,1017,1053,Cloudy,18.640709749683996,20.001267746931415,12.21784192829686,73.14164856067794,1
2024-03-23,Wheat,C,100.80932501685895,1111,889,Sunny,16.200056509847556,17.898262887744906,44.45351678913109,50.92127246194495,1
2024-03-24,Wheat,A,294.9556982225481,1324,618,Sunny,4.0485088224140675,24.302323178188566,47.28655690718969,74.69822888096618,1
2024-03-25,Wheat,B,156.76022807348733,955,506,Rainy,10.44615783382147,22.100320554779447,40.41932499731985,27.515805332059795,1
2024-03-26,Wheat,C,208.56903853076278,805,1328,Sunny,6.436425016857486,31.308679569649836,39.34178182896093,65.38418232311068,1
2024-03-27,Wheat,A,180.48205925334355,622,1387,Clear,5.920206594261788,20.250778291011187,37.713755032707674,83.93888920589158,1
2024-03-28,Wheat,B,221.58562919070275,1336,582,Rainy,2.939794069326407,34.74986127214958,15.988060135857394,84.06233125985742,1
2024-03-29,Wheat,A,162.51960535478804,1167,1317,Rainy,6.5502881568791205,19.345632584792703,45.790699273144845,97.48534564171139,1
2024-03-30,Wheat,C,200.15771319545934,670,468,Rainy,8.871423852783408,24.406557891395998,48.8238789687161,47.16996069408141,1
2024-03-31,Wheat,A,292.6714499198423,563,1215,Rainy,11.844265684653807,18.238195313787408,19.340352726772853,34.14923033837557,1
2024-04-01,Wheat,A,141.7450132269192,1048,1075,Rainy,7.044793684634067,16.588141821983665,44.86399877598835,46.10002599047586,1
2024-04-02,Wheat,C,264.26209996994385,517,1396,Sunny,10.559344397790937,15.522666272585875,18.837056331866226,55.93666092925345,1
2024-04-03,Wheat,B,245.17090422891272,746,675,Clear,17.683720757915452,28.52162239437513,41.083009992993674,42.718356750491004,1
2024-04-04,Wheat,A,218.171314401684,1165,689,Sunny,5.722947346277905,25.703839160046318,42.27206416964907,41.84520659022297,1
2024-04-05,Wheat,B,242.07414299928354,1099,778,Clear,8.131760327227846,33.02780967163548,21.26711398829108,34.99817717822413,1
2024-04-06,Wheat,A,114.68984833761742,1360,703,Rainy,5.239574145500249,26.576855020746393,15.163572101188723,44.87390171049402,1
2024-04-07,Wheat,B,181.68295814137485,639,1198,Cloudy,16.290172275516095,16.1211762170393,12.126467568831881,80.03045443661165,1
2024-04-08,Wheat,B,278.57074423829533,1248,1056,Sunny,19.839904504389768,24.522729019972868,36.73490829615547,65.64534552632244,1
2024-04-09,Wheat,A,144.91983405043484,1459,1108,Clear,15.091445025102717,17.343172270452317,18.714520137299218,40.85567213936461,1
2024-04-10,Wheat,B,138.77329093863506,1382,796,Rainy,5.826479816912435,33.26869610503881,19.422148601902265,88.52347568440847,1
2024-04-11,Wheat,C,257.84124080502045,598,1368,Sunny,17.330550277532875,32.89760108184121,34.58120013698178,84.03957169199,1
2024-04-12,Wheat,C,186.72340462351582,703,1260,Cloudy,15.267190593211893,16.03771888466685,43.54232376934017,66.52038561372562,1
2024-04-13,Wheat,A,109.1546926278404,978,811,Clear,11.89856328439121,20.116209036213665,20.048878904944466,47.57857228752165,1
2024-04-14,Wheat,A,221.9019254051612,1026,1365,Rainy,19.39024925923818,32.985870746371965,17.429702750038842,31.752889148701755,1
2024-04-15,Wheat,A,271.3010396440725,1334,929,Sunny,11.798212930624581,34.21331049964038,13.69774937098201,93.67684256138728,1
2024-04-16,Wheat,B,208.5698073802177,1366,1200,Clear,3.6945678555693373,27.447078333734893,44.6070881567134,74.14544165192714,1
2024-04-17,Wheat,B,165.06438128791984,1104,1191,Sunny,2.7437172127157794,19.26950421261257,14.294053321379252,26.31379960140241,1
2024-04-18,Wheat,B,117.93245283734792,884,1045,Rainy,10.657358600126564,25.306941830150755,30.69083254206462,23.97250207189268,1
2024-04-19,Wheat,A,100.54709961702397,1327,588,Cloudy,15.001304575230854,32.276438086144005,36.353343734280635,54.12778326507366,1
2024-04-20,Wheat,A,105.50544538160898,819,731,Sunny,11.463063178007989,27.288317946991732,21.85674742772152,63.499243164273125,1
2024-04-21,Wheat,A,153.51577087807044,522,867,Rainy,7.506434342357462,22.384150026471872,32.11788487262063,40.85098380095098,1
2024-04-22,Wheat,B,106.43062488598444,1474,913,Sunny,19.30036494935012,22.677096155669894,17.494316994463105,72.61864909931417,1
2024-04-23,Wheat,A,222.1502091023284,709,1157,Clear,2.296606832447987,21.642263786373057,21.47977563811437,69.97956807647691,1
2024-04-24,Wheat,B,293.9537743779425,1020,608,Sunny,15.762976526971137,21.81337917841705,40.74946243651115,33.164874752531674,1
2024-04-25,Wheat,A,120.36609202907103,1405,768,Cloudy,12.426836727128297,15.714729868518216,13.45185872483858,51.49753146771522,1
2024-04-26,Wheat,B,132.68142093750964,919,629,Cloudy,18.828091433642783,33.706027996499614,29.315121375004516,42.564149405462075,1
2024-04-27,Wheat,B,248.38345501440676,1473,613,Clear,12.028898428954989,15.412270048313655,40.792415189354585,25.896915130325997,1
2024-04-28,Wheat,C,109.34838391355814,930,1320,Cloudy,1.3863661382425785,21.856994178138095,45.452515110730275,27.23791681296566,1
2024-04-29,Wheat,B,239.53844439596864,1360,931,Rainy,3.338345699664591,18.594077003861948,25.03463138141319,94.28796584099192,1
2024-04-30,Wheat,C,203.99203929169227,612,908,Rainy,3.411719894009404,22.48120880927964,28.87293580507439,72.90581668584895,1
2024-05-01,Wheat,C,144.80861894825003,1228,708,Cloudy,15.923960642741374,30.929772743680182,10.457753872833798,64.77627596704028,0
2024-05-02,Wheat,C,226.46542881537664,1091,972,Clear,2.9694787627074204,34.49645873271105,40.99362867623908,52.23370067996502,0
2024-05-03,Wheat,B,246.98690693726522,947,957,Rainy,7.448124024747278,20.40308661808414,36.769260116481995,90.22801398991997,0
2024-05-04,Wheat,B,194.40900965570663,1058,458,Cloudy,13.579579039439135,18.995819389114384,48.218362746095906,40.44386258754073,0
2024-05-05,Wheat,C,178.0176089038736,602,549,Clear,0.020151003409603074,27.504541364831027,13.27939057816781,51.56722965841398,0
2024-05-06,Wheat,C,157.6594794344055,721,875,Cloudy,13.585449463301638,20.49312101278004,48.53143258251121,66.54282712448236,0
2024-05-07,Wheat,C,168.35003821119682,823,643,Cloudy,8.218835666653534,18.372865276489897,21.17142717323166,41.78074287814161,0
2024-05-08,Wheat,B,262.13091387355985,1141,651,Cloudy,11.57130635610753,17.476577437977202,28.515235165943075,45.689869012462914,0
2024-05-09,Wheat,B,191.93179323386914,1333,604,Sunny,4.543183375653063,21.318761452357208,32.15028626800867,51.70507083875066,0
2024-05-10,Wheat,C,122.76628205078781,1056,1153,Rainy,0.5507333709991236,24.02672894161622,23.56598862272957,67.25665945935042,0
2024-05-11,Wheat,C,112.14081946348107,978,1267,Sunny,18.457840153976043,17.218651553083955,31.78463262561795,74.05410230409188,0
2024-05-12,Wheat,A,148.85249457396964,1468,1064,Cloudy,14.032305560370371,21.24200652367431,46.08848324715373,34.46215835969522,0
2024-05-13,Wheat,C,213.17122606255566,965,545,Rainy,16.101874097006693,20.37640252724823,39.33661235177025,32.65131368976068,0
2024-05-14,Wheat,C,158.92054513400072,757,1260,Rainy,2.107684934092864,17.04609767128645,37.4719201883191,62.41650276634345,0
2024-05-15,Wheat,B,284.7407764730642,629,1380,Cloudy,14.935082123565289,30.606281952673207,47.48897798729025,88.38081188620815,0
2024-05-16,Wheat,B,130.17029101244006,893,1271,Cloudy,0.24350851267264773,19.61796218869284,35.5437940979833,39.863728643985866,0
2024-05-17,Wheat,A,102.1579056750463,1024,1110,Cloudy,13.916352222115254,17.534486564381393,29.56951865169911,70.91642889848004,0
2024-05-18,Wheat,A,154.93160587919186,1284,1356,Cloudy,0.8455450905003592,23.88153634419092,12.132637225620023,89.25469209583537,0
2024-05-19,Wheat,A,266.16725936042513,756,974,Cloudy,19.90168242966152,18.340844215183264,45.290456613849976,38.078046454711796,0
2024-05-20,Wheat,C,167.04811519395,1270,1322,Clear,6.790279472569627,27.72063466583588,34.24738542719615,86.5274486610429,0
2024-05-21,Wheat,A,102.7405932689254,1343,1147,Clear,14.925386541177355,28.4485351439348,14.133617869593511,87.45960651346951,0
2024-05-22,Wheat,B,168.7529751341671,1436,860,Sunny,8.69392254684584,32.035066117094,20.96247647418238,83.48599921885068,0
2024-05-23,Wheat,C,236.10448666603315,507,885,Rainy,7.692468366612577,31.999491545183318,13.877027292656251,60.60484666058231,0
2024-05-24,Wheat,C,193.04845654909252,981,871,Clear,4.130031598376522,19.653638074944784,41.57324288853397,97.37141039189697,0
2024-05-25,Wheat,C,156.58140610506808,969,828,Cloudy,18.506620405506894,19.810722734278137,36.3912724840472,57.94527893867532,0
2024-05-26,Wheat,B,125.3652520916088,519,1061,Rainy,0.05838373545204334,24.648504263442767,10.746654075594426,26.57841163380479,0
2024-05-27,Wheat,C,132.1269434492874,869,588,Rainy,5.983657726238258,31.272490356384406,27.26454797514632,72.82824553985634,0
2024-05-28,Wheat,B,107.29956506801469,1389,437,Cloudy,13.535945331920125,16.624667503062252,26.321866550906094,28.864096903753847,0
2024-05-29,Wheat,A,153.0007831055536,1392,680,Clear,1.856424363262994,16.654465455876075,25.936653626164713,53.38204942474101,0
2024-05-30,Wheat,B,274.67042647148213,1389,413,Sunny,1.9074329727196337,31.663705579892728,21.987430405208578,94.69101922333442,0
2024-05-31,Wheat,B,189.8089315564195,1147,443,Clear,0.6677909046070929,33.87489805197634,36.01152947895417,46.11852385638854,0
2024-06-01,Wheat,A,182.39832547472932,1099,934,Cloudy,17.650462895129284,21.876905404776224,18.58297426694589,50.938393065069505,0
2024-06-02,Wheat,B,255.69771717399618,1443,1158,Sunny,18.78322175545908,29.039627689847592,42.37573357247366,72.60978374786743,0
2024-06-03,Wheat,B,161.29356703525315,930,690,Clear,10.158677376444507,27.410099586590004,40.59480516696904,90.44074460195357,0
2024-06-04,Wheat,B,132.52592487677532,1381,772,Clear,12.05514913276984,18.354950703522665,30.429866338771596,75.60568997040176,0
2024-06-05,Wheat,B,110.61555209782202,1053,1193,Clear,14.766923554954097,15.434347052070532,42.74144456825587,56.461809731932185,0
2024-06-06,Wheat,B,208.6119966460193,657,1145,Clear,4.241950770005227,25.636093342154577,12.888630526408456,27.52300597885414,0
2024-06-07,Wheat,B,260.1879647679349,951,775,Rainy,3.979235079974921,28.971399279943277,38.97465077822171,80.0462471660411,0
2024-06-08,Wheat,B,201.4766706793594,999,1373,Sunny,9.145295132617344,17.737532116355208,34.267401152745684,83.8844820138601,0
2024-06-09,Wheat,B,162.16940124253296,1146,481,Sunny,5.5950844943304805,16.861034022006677,40.312101257048354,80.88367762273548,0
2024-06-10,Wheat,B,225.47108066326166,1483,1195,Clear,14.805604049578154,15.150016831616785,25.452659468662077,36.41947343481773,0
2024-06-11,Wheat,A,168.44496680254863,851,795,Sunny,10.654449126828972,31.90091548536755,34.75173346993078,98.99565089352947,0
2024-06-12,Wheat,B,131.73132613346957,1127,1034,Cloudy,1.046079385951042,33.411105262750254,24.34719630794305,26.896825470509953,0
2024-06-13,Wheat,B,197.82063220997043,1031,804,Cloudy,16.75344148896017,30.296024015909428,24.926590490633657,98.74540779556487,0
2024-06-14,Wheat,C,145.45054395936688,572,1046,Rainy,13.913333389524913,28.157515926613307,37.279960391873004,87.08751226301204,0
2024-06-15,Wheat,B,237.98613053726433,1199,1106,Sunny,13.03990783013366,30.023038228312682,19.97659171934135,81.43045825314817,0
2024-06-16,Wheat,C,185.82739043644762,539,1262,Cloudy,12.770452781496626,16.66077854667626,41.77155283514904,67.62557201499425,0
2024-06-17,Wheat,C,141.13813750171641,1067,1225,Sunny,1.1085833765484199,33.51923584676949,31.086644606062123,98.72249922074177,0
2024-06-18,Wheat,C,231.7127637878602,1295,900,Clear,9.768476850205117,28.312817376243704,48.280346072021935,43.297496856042336,0
2024-06-19,Wheat,B,144.01524824886124,1161,1101,Rainy,14.985843414976204,24.109173349216242,24.445752405907903,73.21940478710384,0
2024-06-20,Wheat,B,271.98539796058606,543,1170,Sunny,2.545494431952895,28.35293108661585,23.515081330806776,59.795032225764245,0
2024-06-21,Wheat,B,288.7614566966604,675,1258,Rainy,6.642343065002587,22.90718139476199,13.223867448511864,40.81394773990422,0
2024-06-22,Wheat,B,259.99906077873527,1074,859,Sunny,18.16809318752429,22.083312998172545,47.36307172114159,98.4857279460368,0
2024-06-23,Wheat,C,166.0470930488445,1357,1193,Cloudy,2.972962653993656,32.53398095059264,37.0353896630994,80.00340778779261,0
2024-06-24,Wheat,A,281.53195041505205,1375,628,Sunny,8.74474768618349,31.418126015506132,44.34883299946996,97.8304051361493,0
2024-06-25,Wheat,B,136.59065057761688,740,522,Clear,10.508368006218491,33.759942598340395,23.64710508088978,96.27452988382508,0
2024-06-26,Wheat,B,292.5370159369331,1348,874,Cloudy,9.053606291778705,27.974625540007345,49.28971431505863,49.20167014486844,0
2024-06-27,Wheat,B,281.4073791158828,1308,838,Clear,17.594760646600438,25.335716244947577,33.78946267733942,43.53963730306745,0
2024-06-28,Wheat,C,164.3162767017249,1362,431,Clear,17.872399703242777,33.27661290026818,41.883706247340484,88.28777713850025,0
2024-06-29,Wheat,C,127.29510962401875,1124,733,Cloudy,2.5044301828406312,18.256694212196475,37.47095449706333,53.303627253986534,0
2024-06-30,Wheat,B,259.9088406868539,861,1343,Cloudy,1.8239751548624117,18.353040310528094,34.26000780318034,51.56387456485937,0
2024-07-01,Wheat,B,201.15581140931474,561,758,Rainy,7.26281510769727,21.191028287718634,14.881966272675351,68.29266497699219,0
2024-07-02,Wheat,B,289.63071215752916,736,967,Cloudy,8.916030456708885,21.921017664243763,13.712832736058903,73.92244304449423,0
2024-07-03,Wheat,B,168.62382289055984,1203,721,Rainy,11.687931118763615,21.341157890179183,30.792251205976505,44.40944381929867,0
2024-07-04,Wheat,A,203.17588758387686,757,856,Cloudy,10.755740338044916,33.36811581990649,36.617017612928365,23.838123917320768,0
2024-07-05,Wheat,C,255.1348162585956,878,878,Sunny,6.2216313210930485,28.947605373726383,13.768265020345183,51.15551360464068,0
2024-07-06,Wheat,B,116.36997607132446,828,546,Sunny,1.0754369633485594,33.36168766960208,14.572702364120907,99.79367577015732,0
2024-07-07,Wheat,C,215.83624826092338,1394,1336,Clear,0.6173728911994569,24.274633873912222,18.423746979261658,93.3290258287273,0
2024-07-08,Wheat,B,159.8738442127059,731,1136,Sunny,11.80523553324675,22.549024626394957,47.53392371976342,79.75837561076713,0
2024-07-09,Wheat,B,230.44377389559037,922,409,Clear,4.538009273778016,15.730155925475264,22.3460649530385,28.995778311110687,0
2024-07-10,Wheat,C,177.41900445348438,624,1246,Rainy,8.39274544274395,16.585862937313287,28.453307449408562,29.230880561668986,0
2024-07-11,Wheat,B,291.6735923130575,1169,670,Cloudy,17.344531191446396,33.24128629339616,17.822597253904085,50.22886331217837,0
2024-07-12,Wheat,B,222.42204516090072,1333,415,Cloudy,18.237142304655663,22.402814533948018,31.53188969364919,54.21320609668834,0
2024-07-13,Wheat,B,186.82891910877564,780,1241,Clear,1.2561192896772866,16.713913918337205,35.981805115541775,38.703572450165424,0
2024-07-14,Wheat,C,235.24793454938538,792,618,Rainy,7.2096135534935275,33.295915923131474,21.61567501218769,55.23000722454759,0
2024-07-15,Wheat,C,143.41578337130875,1448,702,Cloudy,10.329041179045973,18.699819030237588,37.408902000568155,68.35394874527216,0
2024-07-16,Wheat,B,274.602412768427,1109,1128,Cloudy,18.22961666426587,16.293845432436548,35.302164378016144,56.26830975751037,0
2024-07-17,Wheat,A,110.71092918533088,1179,620,Sunny,11.624765483186685,15.343839462572033,39.317594106859,68.19768584968867,0
2024-07-18,Wheat,C,205.34098743584528,1395,1274,Cloudy,16.217900419561875,20.00502654093721,25.392919086372707,35.834495097984146,0
2024-07-19,Wheat,B,160.663310823012,1449,987,Clear,2.787526849315405,30.646395412071872,37.50002571379934,93.30438539195333,0
2024-07-20,Wheat,C,266.00051002934447,1118,594,Sunny,3.04356290477253,30.22575433592759,36.6601338644156,32.59468315211801,0
2024-07-21,Wheat,A,144.7376097130398,1175,773,Sunny,7.153072275184567,34.69916640707254,20.649165140039898,34.6277675185378,0
2024-07-22,Wheat,C,287.796056095125,901,419,Cloudy,17.38640406951704,31.011903442702657,47.34342483059574,93.733062898156,0
2024-07-23,Wheat,A,183.98271630733038,688,547,Clear,9.246353974012052,27.250376409093537,13.643531605032514,96.48087596819211,0
2024-07-24,Wheat,B,181.41107064189555,833,621,Rainy,9.607562691957025,22.626006881011314,27.857229998328044,88.62357631307913,0
2024-07-25,Wheat,C,166.60394874382075,1205,1173,Rainy,4.505790715551843,32.13995244637366,18.919310005548663,96.40475811979557,0
2024-07-26,Wheat,B,286.5426770418094,698,1036,Cloudy,1.8406962808116867,33.08533561584203,13.60638215023557,91.2436762422694,0
2024-07-27,Wheat,A,180.87194053326607,972,1108,Clear,6.965846594168525,15.962705291834125,43.50449240730886,61.76204771853711,0
